Designator,Mid X,Mid Y,Rotation,Layer
C1_8,42.5,-4.5,90.0,top
C1_7,-0.5,-4.5,90.0,top
C1_6,42.5,18.5,90.0,top
C1_5,-0.5,18.5,90.0,top
C1_4,42.5,41.5,90.0,top
C1_3,-0.5,41.5,90.0,top
C1_2,42.5,64.5,90.0,top
C1,-0.5,64.5,90.0,top
J1_8,47.505,-11.875,270.0,bottom
J1_7,4.505,-11.875,270.0,bottom
J1_6,47.505,11.125,270.0,bottom
J1_5,4.505,11.125,270.0,bottom
J1_4,47.505,34.125,270.0,bottom
J1_3,4.505,34.125,270.0,bottom
J1_2,47.505,57.125,270.0,bottom
J1,4.505,57.125,270.0,bottom
R1_8,37.5,-4.5,0.0,top
R1_7,-5.5,-4.5,0.0,top
R1_6,37.5,18.5,0.0,top
R1_5,-5.5,18.5,0.0,top
R1_4,37.5,41.5,0.0,top
R1_3,-5.5,41.5,0.0,top
R1_2,37.5,64.5,0.0,top
R1,-5.5,64.5,0.0,top
R2_8,36.0,-1.5,0.0,top
R2_7,-7.0,-1.5,0.0,top
R2_6,36.0,21.5,0.0,top
R2_5,-7.0,21.5,0.0,top
R2_4,36.0,44.5,0.0,top
R2_3,-7.0,44.5,0.0,top
R2_2,36.0,67.5,0.0,top
R2,-7.0,67.5,0.0,top
R3_8,38.5,-11.5,180.0,top
R3_7,-4.5,-11.5,180.0,top
R3_6,38.5,11.5,180.0,top
R3_5,-4.5,11.5,180.0,top
R3_4,38.5,34.5,180.0,top
R3_3,-4.5,34.5,180.0,top
R3_2,38.5,57.5,180.0,top
R3,-4.5,57.5,180.0,top
R4_8,38.5,-18.5,0.0,top
R4_7,-4.5,-18.5,0.0,top
R4_6,38.5,4.5,0.0,top
R4_5,-4.5,4.5,0.0,top
R4_4,38.5,27.5,0.0,top
R4_3,-4.5,27.5,0.0,top
R4_2,38.5,50.5,0.0,top
R4,-4.5,50.5,0.0,top
R5_8,56.5,-18.5,180.0,top
R5_7,13.5,-18.5,180.0,top
R5_6,56.5,4.5,180.0,top
R5_5,13.5,4.5,180.0,top
R5_4,56.5,27.5,180.0,top
R5_3,13.5,27.5,180.0,top
R5_2,56.5,50.5,180.0,top
R5,13.5,50.5,180.0,top
R6_8,56.5,-11.5,180.0,top
R6_7,13.5,-11.5,180.0,top
R6_6,56.5,11.5,180.0,top
R6_5,13.5,11.5,180.0,top
R6_4,56.5,34.5,180.0,top
R6_3,13.5,34.5,180.0,top
R6_2,56.5,57.5,180.0,top
R6,13.5,57.5,180.0,top
R7_8,59.5,-1.5,0.0,top
R7_7,16.5,-1.5,0.0,top
R7_6,59.5,21.5,0.0,top
R7_5,16.5,21.5,0.0,top
R7_4,59.5,44.5,0.0,top
R7_3,16.5,44.5,0.0,top
R7_2,59.5,67.5,0.0,top
R7,16.5,67.5,0.0,top
R8_8,56.5,-4.0,0.0,top
R8_7,13.5,-4.0,0.0,top
R8_6,56.5,19.0,0.0,top
R8_5,13.5,19.0,0.0,top
R8_4,56.5,42.0,0.0,top
R8_3,13.5,42.0,0.0,top
R8_2,56.5,65.0,0.0,top
R8,13.5,65.0,0.0,top
U1_8,37.5,-15.0,90.0,top
U1_7,-5.5,-15.0,90.0,top
U1_6,37.5,8.0,90.0,top
U1_5,-5.5,8.0,90.0,top
U1_4,37.5,31.0,90.0,top
U1_3,-5.5,31.0,90.0,top
U1_2,37.5,54.0,90.0,top
U1,-5.5,54.0,90.0,top
U2_8,57.5,-15.0,270.0,top
U2_7,14.5,-15.0,270.0,top
U2_6,57.5,8.0,270.0,top
U2_5,14.5,8.0,270.0,top
U2_4,57.5,31.0,270.0,top
U2_3,14.5,31.0,270.0,top
U2_2,57.5,54.0,270.0,top
U2,14.5,54.0,270.0,top
U3_8,47.5,-2.5,90.0,top
U3_7,4.5,-2.5,90.0,top
U3_6,47.5,20.5,90.0,top
U3_5,4.5,20.5,90.0,top
U3_4,47.5,43.5,90.0,top
U3_3,4.5,43.5,90.0,top
U3_2,47.5,66.5,90.0,top
U3,4.5,66.5,90.0,top
