Designator,Footprint,Quantity,Value,LCSC Part #
"C1, C2",0603,2,2.2u,C23630
"C3, C5",0402,2,0.1u,C1525
C4,0805,1,0.22u,C5378
"D1, D2",D_SOD-323,2,1N5819WS,C191023
J1,TB111-2-2,1,INPUT,
J2,TB111-2-2,1,POWER,
J3,BarrelJack_Horizontal,1,POWER,
J4,PinSocket_1x03_P2.54mm_Vertical,1,UPDI,
J5,TB111-2-2,1,MOTOR,
"Q1, Q3",SOT-23,2,AO3401A,C15127
"Q2, Q4",SOT-23,2,AO3400A,C20917
"R1, R2, R5, R6, R7, R8",0402,6,10k,C25744
"R10, R3, R4, R9",0402,4,10,C25077
RV1,RV100F-30-6K3B-B10K-B301,1,CW/CCW,
SW1,TS-1088-AR02016,1,TEST1,C720477
SW2,TS-1088-AR02016,1,TEST2,C720477
SW3,SS12D01G4,1,MODE,
U1,SOIC-14_3.9x8.7mm_P1.27mm,1,ATtiny1604-SS,
U2,SOT-89-3,1,L78L05_SOT89,C71136
