Designator,Mid X,Mid Y,Rotation,Layer
C1,134.725,-95.0,180.0,top
C2,139.725,-95.0,180.0,top
C3,145.0,-103.02,270.0,top
C4,149.1,-94.0,180.0,top
C5,150.48,-101.5,0.0,top
D1,135.5,-90.0,90.0,top
D2,140.5,-90.0,90.0,top
J1,138.0,-79.1,0.0,top
J2,162.0,-79.1,0.0,top
J3,149.0425,-83.0,270.0,top
J4,128.525,-110.015,180.0,top
J5,170.9,-95.0,270.0,top
Q1,161.49,-113.0,90.0,top
Q2,169.0,-113.0,270.0,top
Q3,161.49,-105.0,90.0,top
Q4,169.0,-105.0,270.0,top
R1,135.5,-93.0,270.0,top
R10,166.52,-108.0,180.0,top
R2,140.5,-93.0,270.0,top
R3,163.99,-110.0,180.0,top
R4,167.52,-116.0,0.0,top
R5,161.98,-110.0,0.0,top
R6,169.51,-116.0,0.0,top
R7,161.98,-102.0,0.0,top
R8,168.51,-108.0,0.0,top
R9,163.99,-102.0,0.0,top
RV1,150.0,-119.775,180.0,top
SW1,138.0,-121.5,180.0,top
SW2,162.0,-121.5,0.0,top
SW3,128.5,-95.0,90.0,top
U1,139.5,-106.0,180.0,top
U2,148.05,-98.0,0.0,top
